,vendor,rank,verifcation,since,transactions,feedback_total,feedback_positive,feedback_negative,disputes_total,disputes_won,disputes_lost,finalize_early
0,2GD4DN,Rank 1,Verification Level 1,"Jun 9, 2020",33,17,82.35% (14),17.65% (3),2,50% (1),0% (0),Not Available
1,420Quality,Rank 0,Verification Level 4,"Oct 29, 2020",0,0,0% (0),0% (0),0,0% (0),0% (0),Not Available
2,4Score,Rank 0,,"Nov 18, 2020",1,0,0% (0),0% (0),0,0% (0),0% (0),Not Available
3,50bucks,Rank 1,,"Feb 21, 2021",24,7,100% (7),0% (0),0,0% (0),0% (0),Not Available
4,8drugsafe,Rank 1,Verification Level 5,"Apr 25, 2020",28,4,100% (4),0% (0),0,0% (0),0% (0),Not Available
5,ABCandy,Rank 0,,"Oct 23, 2020",13,6,100% (6),0% (0),0,0% (0),0% (0),Not Available
6,ADHD,Rank 1,,"Oct 16, 2020",72,22,95.45% (21),4.55% (1),0,0% (0),0% (0),Not Available
7,ASAPRockyMDMA,Rank 1,,"Sep 27, 2020",24,5,60% (3),40% (2),0,0% (0),0% (0),Not Available
8,ActiveJ,Rank 2,Verification Level 3,"Sep 14, 2020",179,118,95.76% (113),0% (0),3,0% (0),0% (0),Not Available
9,AddamsFamily,Rank 1,Verification Level 4,"Nov 16, 2020",54,34,100% (34),0% (0),0,0% (0),0% (0),Not Available
10,Aliexpress,Rank 2,,"Jan 17, 2021",187,73,87.67% (64),5.48% (4),22,0% (0),9.09% (2),Not Available
11,AmazonPrimePlus,Rank 1,Verification Level 6,"Dec 3, 2020",63,37,97.30% (36),2.70% (1),0,0% (0),0% (0),Not Available
12,AmazonRX,Rank 0,Verification Level 2,"Sep 9, 2020",0,0,0% (0),0% (0),0,0% (0),0% (0),Not Available
13,Amazone,Rank 0,Verification Level 1,"May 31, 2020",1,0,0% (0),0% (0),0,0% (0),0% (0),Not Available
14,AmsterdamNL,Rank 1,Verification Level 5,"Jan 21, 2021",141,56,98.21% (55),1.79% (1),2,0% (0),0% (0),Not Available
15,Angelina,Rank 1,Verification Level 10,"Oct 8, 2020",50,8,87.50% (7),12.50% (1),1,0% (0),0% (0),Not Available
16,Aphex,Rank 1,,"Dec 15, 2020",39,13,100% (13),0% (0),0,0% (0),0% (0),Not Available
17,Apidae,Rank 1,Verification Level 5,"Oct 21, 2020",58,24,100% (24),0% (0),0,0% (0),0% (0),Not Available
18,AusCokeKing,Rank 1,Verification Level 2,"Oct 12, 2020",84,29,96.55% (28),0% (0),0,0% (0),0% (0),Not Available
19,Ausmdma,Rank 0,Verification Level 5,"Nov 14, 2020",4,2,100% (2),0% (0),0,0% (0),0% (0),Not Available
20,AussieMD22,Rank 3,,"Oct 6, 2020",220,104,94.23% (98),1.92% (2),8,0% (0),12.50% (1),Not Available
21,BADIN,Rank 1,Verification Level 2,"Mar 8, 2020",128,27,85.19% (23),11.11% (3),3,0% (0),0% (0),Not Available
22,BMW,Rank 1,,"Feb 18, 2021",80,21,90.48% (19),4.76% (1),8,0% (0),25% (2),Not Available
23,BTCBOYZ,Rank 1,Verification Level 1,"Jan 13, 2021",51,30,96.67% (29),3.33% (1),3,0% (0),66.67% (2),Not Available
